Resistivity;Udistance;UEddy
9,632;4,571773956;1,474919128
9,632;4,450762207;1,486693909
9,632;4,324012115;1,499211914
9,632;4,176819305;1,513074371
9,632;4,024324219;1,526707214
9,632;3,853368347;1,541780182
9,632;3,666264954;1,557897491
9,632;3,461686707;1,574679474
9,632;3,24479892;1,591904572
9,632;2,998528564;1,61147113
9,632;2,741862122;1,630678162
9,632;2,449258026;1,652634521
9,632;2,136670441;1,675677521
9,632;1,801208038;1,699833344
9,632;1,426159332;1,725991241
9,632;1,002234009;1,753548981
9,632;0,452707672;1,779369507
;;
3;5,820820129;1,374486053
3;5,808515625;1,381881042
3;5,794248322;1,389862152
3;5,779448273;1,398252136
3;5,764262512;1,406798218
3;5,747923645;1,415839783
3;5,729889862;1,426037476
3;5,711315277;1,435675232
3;5,690734589;1,447111633
3;5,669448944;1,457921631
3;5,645581146;1,46948291
3;5,621163483;1,481688721
3;5,593590637;1,494962036
3;5,565392395;1,508201111
3;5,533494141;1,522747375
3;5,500637146;1,537229187
3;5,463169739;1,553511658
3;5,423704285;1,570019714
3;5,381605316;1,587514709
3;5,335306824;1,605781128
3;5,284935699;1,625526947
3;5,230767883;1,645736023
3;5,169277588;1,668013641
3;5,105536469;1,691030457
3;5,035207031;1,714887177
3;4,956507751;1,74121225
3;4,87400473;1,76757962
3;4,780123718;1,796893707
3;4,680181091;1,826688171
3;4,569425446;1,859886566
3;4,449283813;1,894031616
3;4,316088409;1,930983398
3;4,173783966;1,969226257
3;4,010815247;2,012284973
3;3,843217987;2,055427277
3;3,650715637;2,103334076
3;3,444714386;2,154423248
3;3,217553375;2,209083527
3;2,976435242;2,266753967
3;2,701513458;2,331708618
3;2,419724396;2,396913025
3;2,095767883;2,471566864
3;1,747469238;2,550967072
3;1,37073468;2,635447998
3;0,942495026;2,726109375
;;
1,2493;5,844595276;1,469591675
1,2493;5,833249512;1,481263733
1,2493;5,820486786;1,494556183
1,2493;5,80779657;1,507816406
1,2493;5,794287598;1,521990051
1,2493;5,779446259;1,53670047
1,2493;5,763873779;1,552387756
1,2493;5,747936737;1,56848996
1,2493;5,729308777;1,586271973
1,2493;5,710333374;1,604067078
1,2493;5,689622772;1,623772614
1,2493;5,668286774;1,643685608
1,2493;5,64387616;1,665544281
1,2493;5,618807922;1,687884338
1,2493;5,590646942;1,712289917
1,2493;5,562723633;1,736631042
1,2493;5,530358093;1,763900757
1,2493;5,496329865;1,792118134
1,2493;5,459237091;1,822022369
1,2493;5,419116028;1,85352182
1,2493;5,374741058;1,887693054
1,2493;5,328855469;1,922624634
1,2493;5,276084473;1,961312622
1,2493;5,220227783;2,001459869
1,2493;5,160120209;2,043845856
1,2493;5,092861359;2,090291382
1,2493;5,021345581;2,138082367
1,2493;4,941613037;2,190927887
1,2493;4,856195526;2,245983948
1,2493;4,760539032;2,305897156
1,2493;4,657685944;2,369449951
1,2493;4,54393927;2,438210358
1,2493;4,422558929;2,510106812
1,2493;4,284154907;2,59132782
1,2493;4,137880554;2,674949707
1,2493;3,97381311;2,768206329
1,2493;3,796787567;2,867563843
